"","V1","V2","V3","V4","V5","V6"
"MSA","BAL","BOS","LAX","MIA","MSP","PHX"
"Perc_Tree_min","0.000000","4.641772","0.000000","1.902990","0.000000","0.000000"
"Perc_Grass_min","0.000000000","0.620428198","4.855612616","5.829220747","0.001616716","0.000000000"
"Perc_Other_min","0.000000000","0.949996114","4.418201687","1.167111224","0.008119421","0.000000000"
"Perc_Water_min","0","0","0","0","0","0"
"NP_T_min"," 0","16"," 0","32"," 0"," 0"
"MPA_T_min","0.000000000","0.011718606","0.000000000","0.009033665","0.000000000","0.000000000"
"CV_T_min","  0.00000","110.22895","  0.00000"," 91.26977","  0.00000","  0.00000"
"PAratio_T_min","   0.000","4650.186","   0.000","4269.894","5841.964","   0.000"
"NP_G_min"," 0"," 9"," 1","36"," 8"," 0"
"MPA_G_min","0.0000000000","0.0016857143","0.0233654899","0.0113041222","0.0004185585","0.0000000000"
"CV_G_min"," 0.00000","63.84327"," 0.00000","86.88215","70.15786"," 0.00000"
"PAratio_G_min","   0.0000","8675.5981"," 622.1741","4013.6948","5052.0298","   0.0000"
"Perc_Tree_max","87.66375","90.21619","40.51577","73.54382","56.69117","27.84917"
"Perc_Grass_max","77.87613","73.48864","90.16731","72.90011","90.22484","62.41474"
"Perc_Other_max","89.45334","90.45351","91.91455","82.58090","77.06121","98.39893"
"Perc_Water_max","21.59552","50.07801","47.48244","50.60628","65.08371","15.71165"
"NP_T_max","  7615","  8620"," 45935","185318"," 49722","251113"
"MPA_T_max","2.6508096","5.1770576","0.2876179","0.7037476","0.4164638","0.1613416"
"CV_T_max","6353.711","7471.960","2117.769","4993.334","3847.464","2329.895"
"PAratio_T_max"," 52909.388"," 19511.989"," 16783.355","  7603.062","160584.487","649711.622"
"NP_G_max","   6999","  21478","  72411"," 175256","   7513","1967627"
"MPA_G_max"," 2.5076155"," 0.3110233","16.5798903"," 1.9474188"," 8.9909502"," 0.1252467"
"CV_G_max"," 2262.305"," 5581.550"," 4982.838"," 5775.868"," 3364.438","13322.475"
"PAratio_G_max","  24295.88","  25509.61","  50160.29","  10002.90"," 103416.92","4353409.05"
"Perc_Tree_mean","43.709003","48.722882"," 9.808478","18.563498","22.484983"," 9.490555"
"Perc_Grass_mean","29.43524","18.40552","40.18252","29.96953","44.20176","11.15825"
"Perc_Other_mean","25.01382","30.13498","49.04523","42.36298","29.11261","73.42772"
"Perc_Water_mean","0.6820355","2.6173162","0.7087189","6.5000383","3.7054153","0.6092123"
"NP_T_mean","1096.1636"," 557.1400"," 506.1453","1461.6145","2346.7659","9021.7578"
"MPA_T_mean","0.172366790","0.256052313","0.045508442","0.055050230","0.046651612","0.002883664"
"CV_T_mean","1440.9371","1220.0558"," 189.3677"," 440.7537"," 602.0281"," 348.8877"
"PAratio_T_mean"," 8536.428"," 7531.759"," 4707.888"," 5290.708"," 8675.037","27828.199"
"NP_G_mean"," 1008.8140"," 1821.0901","  717.8918"," 1317.7167","  617.5502","31986.8999"
"MPA_G_mean","0.152156594","0.026009978","0.293596390","0.089179187","0.493244632","0.002626462"
"CV_G_mean"," 562.3931"," 587.9325"," 546.2105"," 573.8087"," 713.2599","1524.0060"
"PAratio_G_mean"," 9088.682","15853.798"," 4650.049"," 5262.521"," 8343.265","38063.404"
"Perc_Tree_sd","15.335757","17.562962"," 7.072555","10.070370"," 9.722466"," 6.030141"
"Perc_Grass_sd","13.543541"," 7.457397","12.403493","12.099033","14.709083"," 8.468314"
"Perc_Other_sd","16.31720","19.45348","13.08917","16.63905","14.54219","20.68639"
"Perc_Water_sd","2.056299","5.823477","2.416541","7.034114","7.604492","1.649747"
"NP_T_sd"," 1240.0994","  700.1678"," 2214.0781"," 9634.3691"," 4324.4920","21516.8135"
"MPA_T_sd","0.196090578","0.353955211","0.029410918","0.053561831","0.037094964","0.006766343"
"CV_T_sd","1087.2548","1015.8793"," 167.3100"," 495.7713"," 511.2508"," 227.3193"
"PAratio_T_sd"," 2746.7596"," 1607.1449","  712.5132","  415.0481"," 5707.4614","36260.4453"
"NP_G_sd","   890.8521","  2085.6612","  3473.1003","  6969.8696","   748.1821","163988.0715"
"MPA_G_sd","0.294760978","0.027552170","0.880321309","0.155422663","0.946226348","0.007647496"
"CV_G_sd"," 351.2514"," 474.8922"," 590.7096"," 664.3740"," 527.8053","1925.0333"
"PAratio_G_sd","  2425.0267","  4647.5497","  1806.5781","   556.9697","  5117.9598","162459.5529"
